525,-93.61775413,41.99182682,897.41,7.47,318.01
530,-93.61775707,41.99183092,896.10,7.81,317.89
531,-93.61776100,41.99183545,896.10,8.19,317.09
532,-93.61776595,41.99184040,895.44,8.61,315.82
536,-93.61777148,41.99184484,895.44,9.01,315.44
537,-93.61777668,41.99184895,895.44,9.16,314.85
538,-93.61778313,41.99185289,896.75,9.49,314.78
542,-93.61779001,41.99185691,898.06,9.91,314.84
543,-93.61779763,41.99186110,899.38,10.38,314.96
547,-93.61780350,41.99186454,900.03,10.53,314.64
551,-93.61780987,41.99186789,900.69,10.64,314.44
553,-93.61781700,41.99187275,902.00,10.90,314.35
554,-93.61782437,41.99187778,903.31,11.20,314.26
558,-93.61783233,41.99188231,904.62,11.56,314.19
559,-93.61783996,41.99188817,905.28,12.37,315.20
560,-93.61784709,41.99189295,906.59,12.62,315.25
564,-93.61785513,41.99189848,907.25,13.07,315.43
565,-93.61786301,41.99190376,907.90,13.57,315.71
566,-93.61787081,41.99190904,908.56,14.07,315.84
573,-93.61787927,41.99191508,909.22,14.57,315.66
574,-93.61788757,41.99192212,909.87,15.08,316.00
576,-93.61789637,41.99192916,909.87,15.60,316.06
580,-93.61790492,41.99193595,910.53,16.06,316.06
581,-93.61791356,41.99194324,910.53,16.51,316.17
582,-93.61792236,41.99195028,910.53,16.96,316.09
586,-93.61793049,41.99195682,910.53,17.16,315.96
587,-93.61793937,41.99196395,911.18,17.58,315.72
588,-93.61794884,41.99197157,911.18,18.10,315.58
589,-93.61795873,41.99197987,911.18,18.67,315.85
596,-93.61796075,41.99198146,911.84,19.27,315.72
597,-93.61797114,41.99198951,911.84,19.77,315.61
599,-93.61798153,41.99199789,911.84,20.26,315.48
603,-93.61799159,41.99200627,911.84,20.70,315.54
604,-93.61800148,41.99201516,911.84,21.16,315.41
605,-93.61801104,41.99202362,911.18,21.64,315.19
609,-93.61802118,41.99203201,911.18,21.86,314.79
610,-93.61803182,41.99204089,910.53,22.24,314.54
611,-93.61804264,41.99204994,910.53,22.67,314.40
616,-93.61805387,41.99205925,910.53,23.14,314.31
619,-93.61806435,41.99206746,909.87,23.31,314.26
620,-93.61807583,41.99207651,909.87,23.61,314.08
625,-93.61808731,41.99208565,909.22,23.89,313.95
626,-93.61811522,41.99210585,909.22,24.20,313.62
630,-93.61812796,41.99211515,908.56,24.61,313.26
631,-93.61813945,41.99212312,908.56,24.86,312.87
632,-93.61815177,41.99213192,908.56,25.18,312.73
636,-93.61816476,41.99214248,908.56,25.81,313.12
637,-93.61817759,41.99215245,908.56,26.52,313.19
641,-93.61819192,41.99216402,908.56,27.16,313.54
645,-93.61820491,41.99217425,908.56,27.71,313.84
647,-93.61821924,41.99218565,908.56,28.22,314.12
648,-93.61823291,41.99219663,908.56,28.72,314.39
652,-93.61824766,41.99220895,908.56,29.45,314.63
653,-93.61826048,41.99221926,908.56,29.74,314.90
654,-93.61827414,41.99222940,908.56,29.96,314.63
658,-93.61828881,41.99224021,908.56,30.18,314.47
659,-93.61830264,41.99225077,908.56,30.57,314.35
660,-93.61831723,41.99226284,907.90,31.15,314.46
664,-93.61831865,41.99226460,907.90,31.48,314.47
668,-93.61833265,41.99227567,907.90,31.83,314.47
670,-93.61834799,41.99228782,907.90,32.16,314.55
671,-93.61836241,41.99229931,907.25,32.46,314.66
675,-93.61837707,41.99231121,907.25,32.76,314.87
676,-93.61839158,41.99232227,907.25,32.88,314.95
677,-93.61840633,41.99233384,906.59,33.05,314.79
