Index,Pitch,Roll,TurnRate
4203,6.11,-7.18,-10.24
4224,6.43,-5.56,-8.23
4250,7.54,-4.65,-8.51
4270,8.15,-4.30,-9.57
4294,8.19,-5.79,-8.06
4320,8.32,-7.22,-8.57
4341,7.91,-9.44,-9.40
4360,7.25,-8.88,-11.64
4381,6.67,-9.28,-11.48
4405,6.23,-9.13,-8.85
4426,6.03,-7.95,-8.40
4447,6.57,-5.56,-10.86
4467,6.18,-7.90,-9.18
4491,7.29,-3.76,-13.16
4512,8.15,-1.60,-7.89
4533,8.10,-1.12,-3.92
4557,8.24,-2.83,-8.85
4578,9.99,-4.16,-9.96
4602,9.67,-9.22,-6.27
4622,8.96,-10.40,-10.36
4644,8.82,-7.01,-10.64
4667,8.02,-11.79,-10.47
4693,7.05,-13.17,-11.98
4713,5.78,-10.43,-7.73
4747,4.85,-7.44,-11.08
4762,4.33,-6.96,-6.72
4786,6.12,-4.92,-10.47
4807,7.61,-3.81,-9.96
4829,6.68,-6.93,-5.49
4853,7.85,-6.88,-9.80
4873,7.99,-5.16,-11.31
4894,7.58,-7.83,-5.82
4918,8.32,-7.64,-12.09
4939,7.86,-6.90,-11.53
4960,7.53,-7.02,-5.15
4984,8.13,-6.54,-9.12
5004,8.21,-6.58,-11.03
5029,7.80,-8.23,-10.30
5049,6.92,-10.40,-8.17
5070,7.06,-10.03,-12.54
5094,7.08,-7.34,-9.57
5116,7.38,-6.35,-10.36
5140,8.05,-5.20,-9.91
5160,6.73,-8.69,-7.67
5181,6.84,-7.35,-10.41
5205,7.37,-7.90,-11.53
5225,7.22,-8.28,-11.92
5246,7.23,-5.92,-10.30
5267,6.95,-6.39,-5.26
5291,8.18,-3.51,-10.24
5312,7.95,-3.79,-9.18
5335,8.45,-2.56,-8.79
5356,9.25,-3.94,-9.96
5377,8.90,-5.59,-7.89
5398,8.34,-6.09,-8.85
5422,8.36,-5.54,-8.51
5442,8.03,-7.51,-7.50
5467,8.15,-7.91,-10.92
5488,7.40,-6.72,-6.38
5509,6.87,-7.14,-8.45
5532,8.56,-3.95,-9.12
5553,9.39,-2.76,-7.89
5580,8.44,-11.82,-9.74
5599,6.96,-15.44,-13.38
5619,5.04,-15.47,-7.39
5640,4.50,-15.53,-8.90
5664,4.23,-11.64,-10.02
5685,3.24,-12.79,-7.95
5706,2.27,-12.71,-12.43
5729,0.81,-9.92,-9.35
5750,0.38,-7.84,-9.74
5772,0.77,-4.37,-10.47
5796,1.54,-3.94,-9.68
5816,2.63,-2.67,-11.98
5837,3.97,-0.10,-9.29
5859,3.94,-4.08,-7.50
5882,5.18,-4.66,-12.60
5903,5.14,-3.67,-9.63
5924,6.71,-2.51,-8.57
5947,7.64,-6.71,-9.07
5969,7.53,-5.13,-8.96
5992,6.94,-3.66,-5.54
6013,8.95,-2.29,-10.24
6033,8.31,-9.22,-12.43
6063,7.13,-8.20,-8.73
6083,7.61,-5.56,-9.01
6104,7.56,-6.78,-8.29
6125,7.83,-6.39,-7.05
6148,8.52,-5.61,-12.82
6169,7.62,-5.19,-7.45
6190,6.90,-3.25,-8.06
6214,7.77,-3.54,-11.36
6234,7.00,-8.28,-9.07
6255,6.66,-8.77,-8.62
6279,7.09,-7.35,-7.95
6299,7.83,-5.35,-8.01
6320,9.11,-5.92,-10.47
6344,8.90,-8.65,-9.18
6365,8.82,-5.91,-9.01
6386,7.62,-8.49,-11.25
6410,7.02,-8.21,-9.01
6431,6.81,-7.10,-8.79
6451,7.44,-5.52,-7.95
6475,7.61,-5.44,-8.23
6495,7.29,-7.50,-10.30
6516,6.80,-6.20,-9.96
6540,6.01,-6.81,-8.01
6562,5.92,-4.92,-9.52
